 In this file all energies are in cm-1, temperatures  in K,
 lengths in Angstroms, and angles in degrees

 *** Intermediate TS results for: 
  effective state 1 in electronic state  1 of channel  1 ***

 Ndag for J =    2
     E     Ndag(E,J) IRdag   
   8650.0 0.1340E+05    1
   8700.0 0.1372E+05    1
   8750.0 0.1404E+05    1
   8800.0 0.1437E+05    1
   8850.0 0.1470E+05    1
   8900.0 0.1505E+05    1
   8950.0 0.1539E+05    1
   9000.0 0.1575E+05    1
   9050.0 0.1611E+05    1
   9100.0 0.1647E+05    1
   9150.0 0.1685E+05    1
   9200.0 0.1723E+05    1
   9250.0 0.1761E+05    1
   9300.0 0.1801E+05    1
   9350.0 0.1841E+05    1
   9400.0 0.1882E+05    1
   9450.0 0.1923E+05    1
   9500.0 0.1965E+05    1
   9550.0 0.2008E+05    1
   9600.0 0.2052E+05    1
   9650.0 0.2096E+05    1
   9700.0 0.2142E+05    1
   9750.0 0.2188E+05    1
   9800.0 0.2234E+05    1
   9850.0 0.2282E+05    1
   9900.0 0.2330E+05    1
   9950.0 0.2379E+05    1
  10000.0 0.2429E+05    1
  10050.0 0.2480E+05    1
  10100.0 0.2532E+05    1
  10150.0 0.2584E+05    1
  10200.0 0.2638E+05    1
  10250.0 0.2692E+05    1
  10300.0 0.2747E+05    1
  10350.0 0.2803E+05    1
  10400.0 0.2860E+05    1
  10450.0 0.2918E+05    1
  10500.0 0.2976E+05    1
  10550.0 0.3036E+05    1
  10600.0 0.3097E+05    1
  10650.0 0.3158E+05    1
  10700.0 0.3221E+05    1
  10750.0 0.3284E+05    1
  10800.0 0.3349E+05    1
  10850.0 0.3414E+05    1
  10900.0 0.3481E+05    1
  10950.0 0.3548E+05    1
  11000.0 0.3617E+05    1
  11050.0 0.3687E+05    1
  11100.0 0.3757E+05    1
  11150.0 0.3829E+05    1
  11200.0 0.3902E+05    1
  11250.0 0.3976E+05    1
  11300.0 0.4051E+05    1
  11350.0 0.4127E+05    1
  11400.0 0.4204E+05    1
  11450.0 0.4283E+05    1
  11500.0 0.4362E+05    1
  11550.0 0.4443E+05    1
  11600.0 0.4525E+05    1
  11650.0 0.4608E+05    1
  11700.0 0.4692E+05    1
  11750.0 0.4778E+05    1
  11800.0 0.4865E+05    1
  11850.0 0.4953E+05    1
  11900.0 0.5042E+05    1
  11950.0 0.5133E+05    1
  12000.0 0.5224E+05    1
  12050.0 0.5318E+05    1
  12100.0 0.5412E+05    1
  12150.0 0.5508E+05    1
  12200.0 0.5605E+05    1
  12250.0 0.5704E+05    1
  12300.0 0.5804E+05    1
  12350.0 0.5905E+05    1
  12400.0 0.6008E+05    1
  12450.0 0.6112E+05    1
  12500.0 0.6217E+05    1
  12550.0 0.6324E+05    1
  12600.0 0.6433E+05    1
  12650.0 0.6542E+05    1
  12700.0 0.6654E+05    1
  12750.0 0.6767E+05    1
  12800.0 0.6881E+05    1
  12850.0 0.6997E+05    1
  12900.0 0.7115E+05    1
  12950.0 0.7234E+05    1
  13000.0 0.7354E+05    1
  13050.0 0.7476E+05    1
  13100.0 0.7600E+05    1
  13150.0 0.7726E+05    1
  13200.0 0.7853E+05    1
  13250.0 0.7982E+05    1
  13300.0 0.8112E+05    1
  13350.0 0.8244E+05    1
  13400.0 0.8378E+05    1
  13450.0 0.8514E+05    1
  13500.0 0.8651E+05    1
  13550.0 0.8790E+05    1
  13600.0 0.8931E+05    1
  13650.0 0.9074E+05    1
  13700.0 0.9218E+05    1
  13750.0 0.9364E+05    1
  13800.0 0.9512E+05    1
  13850.0 0.9662E+05    1
  13900.0 0.9814E+05    1
  13950.0 0.9968E+05    1
  14000.0 0.1012E+06    1
  14050.0 0.1028E+06    1
  14100.0 0.1044E+06    1
  14150.0 0.1060E+06    1
  14200.0 0.1077E+06    1
  14250.0 0.1093E+06    1
  14300.0 0.1110E+06    1
  14350.0 0.1127E+06    1
  14400.0 0.1144E+06    1
  14450.0 0.1161E+06    1
  14500.0 0.1179E+06    1
  14550.0 0.1197E+06    1
  14600.0 0.1215E+06    1
  14650.0 0.1233E+06    1
  14700.0 0.1251E+06    1
  14750.0 0.1270E+06    1
  14800.0 0.1289E+06    1
  14850.0 0.1308E+06    1
  14900.0 0.1327E+06    1
  14950.0 0.1347E+06    1
  15000.0 0.1367E+06    1
  15050.0 0.1387E+06    1
  15100.0 0.1407E+06    1
  15150.0 0.1427E+06    1
  15200.0 0.1448E+06    1
  15250.0 0.1469E+06    1
  15300.0 0.1490E+06    1
  15350.0 0.1512E+06    1
  15400.0 0.1533E+06    1
  15450.0 0.1555E+06    1
  15500.0 0.1577E+06    1
  15550.0 0.1600E+06    1
  15600.0 0.1623E+06    1
  15650.0 0.1645E+06    1
  15700.0 0.1669E+06    1
  15750.0 0.1692E+06    1
  15800.0 0.1716E+06    1
  15850.0 0.1740E+06    1
  15900.0 0.1764E+06    1
  15950.0 0.1789E+06    1
  16000.0 0.1813E+06    1
  16050.0 0.1838E+06    1
  16100.0 0.1864E+06    1
  16150.0 0.1889E+06    1
  16200.0 0.1915E+06    1
  16250.0 0.1941E+06    1
  16300.0 0.1968E+06    1
  16350.0 0.1995E+06    1
  16400.0 0.2022E+06    1
  16450.0 0.2049E+06    1
  16500.0 0.2076E+06    1
  16550.0 0.2104E+06    1
  16600.0 0.2133E+06    1
  16650.0 0.2161E+06    1
  16700.0 0.2190E+06    1
  16750.0 0.2219E+06    1
