========================================
tripplet_W1b_Frequencies_1_0.1.out
0.1 atm
T,P1->P2
700.0,2.33199e-13
800.0,3.06235e-13
900.0,3.6269e-13
1000.0,3.91327e-13
1100.0,3.56697e-13
1200.0,2.55931e-13
1300.0,1.2068e-13
1400.0,1.18243e-14
1500.0,-1.22153e-13
1600.0,-2.13455e-13
1700.0,-2.93228e-13
1800.0,-3.76132e-13
1900.0,-4.6902e-13
2000.0,-5.48425e-13
2100.0,-6.25903e-13
2200.0,-7.19333e-13
2300.0,-7.99792e-13
2400.0,-8.90212e-13
2500.0,-9.7964e-13
2600.0,-1.08477e-12
2700.0,-1.1734e-12
2800.0,-1.3799e-12
2900.0,-1.48863e-12
3000.0,-1.59268e-12
========================================
tripplet_B1_Frequencies_1_0.1.out
2.0 atm
T,P1->P2
200.0,8.91133e-13
210.0,5.0566e-13
220.0,2.70016e-13
230.0,9.42204e-14
240.0,1.1692e-14
250.0,-4.44619e-14
260.0,-9.69232e-14
270.0,-1.22076e-13
280.0,-1.16245e-13
290.0,-9.51855e-14
300.0,-8.74921e-14
310.0,-9.2992e-14
320.0,-6.9548e-14
330.0,-6.36938e-14
340.0,-4.38398e-14
350.0,-2.47179e-14
360.0,-2.2386e-14
370.0,-6.13482e-15
380.0,4.33689e-15
390.0,1.16204e-14
400.0,2.54185e-14
410.0,3.2117e-14
420.0,4.27404e-14
430.0,5.61247e-14
440.0,5.92933e-14
450.0,6.84814e-14
460.0,7.42646e-14
470.0,8.28465e-14
480.0,9.02595e-14
490.0,9.66534e-14
500.0,1.07814e-13
510.0,1.10533e-13
520.0,1.19436e-13
530.0,1.25384e-13
540.0,1.3097e-13
550.0,1.38142e-13
560.0,1.44432e-13
570.0,1.52526e-13
580.0,1.57771e-13
590.0,1.67317e-13
600.0,1.70758e-13
610.0,1.76469e-13
620.0,1.84235e-13
630.0,1.93514e-13
640.0,1.97733e-13
650.0,2.03542e-13
660.0,2.1009e-13
670.0,2.2038e-13
680.0,2.23997e-13
690.0,2.33645e-13
700.0,2.37162e-13
800.0,3.05419e-13
900.0,3.48827e-13
1000.0,3.66574e-13
1100.0,3.19783e-13
1200.0,2.12678e-13
1300.0,7.8948e-14
1400.0,-8.94757e-15
1500.0,-1.41149e-13
1600.0,-2.30092e-13
1700.0,-2.99249e-13
1800.0,-3.76136e-13
1900.0,-4.73665e-13
2000.0,-5.48992e-13
2100.0,-6.24758e-13
2200.0,-7.2935e-13
2300.0,-8.07239e-13
2400.0,-8.99901e-13
2500.0,-9.87988e-13
2600.0,-1.1016e-12
2700.0,-1.1857e-12
2800.0,-1.44291e-12
2900.0,-1.54781e-12
3000.0,-1.64165e-12
========================================
tripplet_B1_Frequencies_1_0.1.out
4.0 atm
T,P1->P2
200.0,1.45968e-12
210.0,9.83856e-13
220.0,6.62625e-13
230.0,4.20734e-13
240.0,2.76053e-13
250.0,1.70905e-13
260.0,8.34145e-14
270.0,2.89158e-14
280.0,8.95367e-15
290.0,8.12206e-15
300.0,2.49869e-16
310.0,-1.56407e-14
320.0,-3.43285e-15
330.0,-4.8432e-15
340.0,7.62255e-15
350.0,2.06723e-14
360.0,1.92849e-14
370.0,3.11505e-14
380.0,3.84727e-14
390.0,4.32751e-14
400.0,5.42976e-14
410.0,5.91413e-14
420.0,6.77977e-14
430.0,7.87838e-14
440.0,8.12895e-14
450.0,8.89741e-14
460.0,9.39832e-14
470.0,1.01345e-13
480.0,1.07799e-13
490.0,1.13457e-13
500.0,1.22832e-13
510.0,1.25697e-13
520.0,1.33569e-13
530.0,1.39135e-13
540.0,1.44279e-13
550.0,1.50722e-13
560.0,1.56572e-13
570.0,1.6412e-13
580.0,1.68902e-13
590.0,1.77981e-13
600.0,1.80898e-13
610.0,1.8586e-13
620.0,1.93487e-13
630.0,2.0274e-13
640.0,2.06048e-13
650.0,2.10696e-13
660.0,2.17036e-13
670.0,2.28151e-13
680.0,2.29565e-13
690.0,2.40318e-13
700.0,2.41528e-13
800.0,3.01337e-13
900.0,3.24956e-13
1000.0,3.27984e-13
1100.0,2.68431e-13
1200.0,1.58003e-13
1300.0,2.94967e-14
1400.0,-3.53126e-14
1500.0,-1.63973e-13
1600.0,-2.50933e-13
1700.0,-3.08469e-13
1800.0,-3.76932e-13
1900.0,-4.82233e-13
2000.0,-5.51342e-13
2100.0,-6.24331e-13
2200.0,-7.47489e-13
2300.0,-8.20869e-13
2400.0,-9.16447e-13
2500.0,-1.00038e-12
2600.0,-1.1267e-12
2700.0,-1.20249e-12
2800.0,-1.52806e-12
2900.0,-1.62924e-12
3000.0,-1.70932e-12
========================================
tripplet_B8_Frequencies_1_0.1.out
0.1 atm
T,P1->P2
200.0,1.38785e-12
210.0,1.0349e-12
220.0,8.31916e-13
230.0,5.85781e-13
240.0,5.02843e-13
250.0,4.25231e-13
260.0,2.92968e-13
270.0,2.01813e-13
280.0,1.75408e-13
290.0,1.94813e-13
300.0,1.71035e-13
310.0,8.27657e-14
320.0,1.12136e-13
330.0,6.66885e-14
340.0,7.82682e-14
350.0,9.8742e-14
360.0,5.41784e-14
370.0,8.06095e-14
380.0,6.64414e-14
390.0,5.72517e-14
400.0,6.96165e-14
410.0,6.12911e-14
420.0,7.30541e-14
430.0,9.80768e-14
440.0,7.51049e-14
450.0,8.71534e-14
460.0,7.99004e-14
470.0,8.82278e-14
480.0,9.32654e-14
490.0,9.63129e-14
500.0,1.18561e-13
510.0,1.07844e-13
520.0,1.19179e-13
530.0,1.22089e-13
540.0,1.2145e-13
550.0,1.33055e-13
560.0,1.34038e-13
570.0,1.4674e-13
580.0,1.45698e-13
590.0,1.66743e-13
600.0,1.56995e-13
610.0,1.61822e-13
620.0,1.69123e-13
630.0,1.89374e-13
640.0,1.8167e-13
650.0,1.88144e-13
660.0,1.94225e-13
670.0,2.0544e-13
680.0,2.08627e-13
690.0,2.16725e-13
700.0,2.22152e-13
800.0,2.95914e-13
900.0,3.68684e-13
1000.0,4.23465e-13
1100.0,4.35178e-13
1200.0,3.84701e-13
1300.0,2.8227e-13
1400.0,1.68191e-13
1500.0,4.74413e-14
1600.0,-3.25467e-14
1700.0,-1.12558e-13
1800.0,-1.8331e-13
1900.0,-2.57681e-13
2000.0,-3.27533e-13
2100.0,-3.87323e-13
2200.0,-4.52202e-13
2300.0,-5.20341e-13
2400.0,-5.91495e-13
2500.0,-6.70507e-13
2600.0,-7.55122e-13
2700.0,-8.41109e-13
2800.0,-9.83167e-13
2900.0,-1.10102e-12
3000.0,-1.22627e-12
========================================
tripplet_B8_Frequencies_1_0.1.out
0.5 atm
T,P1->P2
200.0,6.949e-13
210.0,4.08654e-13
220.0,2.46481e-13
230.0,1.01614e-13
240.0,5.35601e-14
250.0,1.87056e-14
260.0,-3.75159e-14
270.0,-6.74484e-14
280.0,-6.08884e-14
290.0,-3.52185e-14
300.0,-3.30738e-14
310.0,-5.44039e-14
320.0,-3.07353e-14
330.0,-3.5834e-14
340.0,-1.75917e-14
350.0,7.95422e-16
360.0,-6.90807e-15
370.0,9.43701e-15
380.0,1.54637e-14
390.0,1.79482e-14
400.0,3.157e-14
410.0,3.42517e-14
420.0,4.44601e-14
430.0,6.00476e-14
440.0,5.74521e-14
450.0,6.67923e-14
460.0,6.94516e-14
470.0,7.80962e-14
480.0,8.47332e-14
490.0,8.95475e-14
500.0,1.03882e-13
510.0,1.02756e-13
520.0,1.12461e-13
530.0,1.17106e-13
540.0,1.21411e-13
550.0,1.29127e-13
560.0,1.345e-13
570.0,1.42918e-13
580.0,1.4728e-13
590.0,1.57844e-13
600.0,1.59818e-13
610.0,1.65295e-13
620.0,1.7286e-13
630.0,1.83091e-13
640.0,1.86029e-13
650.0,1.92318e-13
660.0,1.98726e-13
670.0,2.08497e-13
680.0,2.13003e-13
690.0,2.21437e-13
700.0,2.26589e-13
800.0,3.00887e-13
900.0,3.69614e-13
1000.0,4.18922e-13
1100.0,4.22309e-13
1200.0,3.62866e-13
1300.0,2.55792e-13
1400.0,1.58906e-13
1500.0,3.84531e-14
1600.0,-3.9862e-14
1700.0,-1.07695e-13
1800.0,-1.74267e-13
1900.0,-2.50252e-13
2000.0,-3.19846e-13
2100.0,-3.76886e-13
2200.0,-4.52072e-13
2300.0,-5.21464e-13
2400.0,-5.96207e-13
2500.0,-6.78922e-13
2600.0,-7.73978e-13
2700.0,-8.59019e-13
2800.0,-1.05564e-12
2900.0,-1.16949e-12
3000.0,-1.28468e-12
========================================
tripplet_B8_Frequencies_1_0.1.out
1.0 atm
T,P1->P2
200.0,7.23507e-13
210.0,4.0479e-13
220.0,2.18034e-13
230.0,7.06233e-14
240.0,1.10441e-14
250.0,-2.93885e-14
260.0,-7.69841e-14
270.0,-1.00144e-13
280.0,-9.22427e-14
290.0,-6.90964e-14
300.0,-6.28327e-14
310.0,-7.31101e-14
320.0,-5.02931e-14
330.0,-4.83401e-14
340.0,-2.97612e-14
350.0,-1.16419e-14
360.0,-1.2948e-14
370.0,2.5627e-15
380.0,1.10627e-14
390.0,1.63616e-14
400.0,2.95509e-14
410.0,3.44406e-14
420.0,4.45959e-14
430.0,5.83729e-14
440.0,5.91516e-14
450.0,6.80701e-14
460.0,7.25917e-14
470.0,8.09435e-14
480.0,8.78619e-14
490.0,9.33705e-14
500.0,1.05553e-13
510.0,1.06649e-13
520.0,1.15715e-13
530.0,1.20965e-13
540.0,1.25978e-13
550.0,1.3316e-13
560.0,1.39014e-13
570.0,1.46987e-13
580.0,1.51879e-13
590.0,1.61392e-13
600.0,1.64497e-13
610.0,1.70132e-13
620.0,1.77619e-13
630.0,1.86796e-13
640.0,1.90872e-13
650.0,1.96998e-13
660.0,2.03364e-13
670.0,2.12964e-13
680.0,2.17492e-13
690.0,2.26205e-13
700.0,2.30837e-13
800.0,3.03669e-13
900.0,3.66807e-13
1000.0,4.10745e-13
1100.0,4.06762e-13
1200.0,3.40451e-13
1300.0,2.29769e-13
1400.0,1.50006e-13
1500.0,2.79436e-14
1600.0,-4.96849e-14
1700.0,-1.06892e-13
1800.0,-1.67744e-13
1900.0,-2.49104e-13
2000.0,-3.16264e-13
2100.0,-3.70949e-13
2200.0,-4.57799e-13
2300.0,-5.25617e-13
2400.0,-6.02152e-13
2500.0,-6.85249e-13
2600.0,-7.88479e-13
2700.0,-8.7064e-13
2800.0,-1.11183e-12
2900.0,-1.22114e-12
3000.0,-1.3274e-12
========================================
tripplet_B8_Frequencies_1_0.1.out
2.0 atm
T,P1->P2
200.0,1.07187e-12
210.0,6.72673e-13
220.0,4.19008e-13
230.0,2.2845e-13
240.0,1.27534e-13
250.0,5.65026e-14
260.0,-6.76433e-15
270.0,-4.26356e-14
280.0,-4.73394e-14
290.0,-3.6128e-14
300.0,-3.56623e-14
310.0,-4.60249e-14
320.0,-2.86666e-14
330.0,-2.69168e-14
340.0,-1.15742e-14
350.0,3.64817e-15
360.0,3.70521e-15
370.0,1.69318e-14
380.0,2.51202e-14
390.0,3.07023e-14
400.0,4.23428e-14
410.0,4.75814e-14
420.0,5.67743e-14
430.0,6.84655e-14
440.0,7.07638e-14
450.0,7.87894e-14
460.0,8.38988e-14
470.0,9.15066e-14
480.0,9.81264e-14
490.0,1.03762e-13
500.0,1.13909e-13
510.0,1.16284e-13
520.0,1.2447e-13
530.0,1.29927e-13
540.0,1.35194e-13
550.0,1.41721e-13
560.0,1.47692e-13
570.0,1.55161e-13
580.0,1.60186e-13
590.0,1.68997e-13
600.0,1.72436e-13
610.0,1.77934e-13
620.0,1.85276e-13
630.0,1.93981e-13
640.0,1.98251e-13
650.0,2.03934e-13
660.0,2.1016e-13
670.0,2.1995e-13
680.0,2.23796e-13
690.0,2.33013e-13
700.0,2.36591e-13
800.0,3.06065e-13
900.0,3.59176e-13
1000.0,3.94543e-13
1100.0,3.80219e-13
1200.0,3.05775e-13
1300.0,1.91815e-13
1400.0,1.35894e-13
1500.0,1.15368e-14
1600.0,-6.5809e-14
1700.0,-1.08528e-13
1800.0,-1.60258e-13
1900.0,-2.52058e-13
2000.0,-3.13583e-13
2100.0,-3.64506e-13
2200.0,-4.72112e-13
2300.0,-5.35473e-13
2400.0,-6.13862e-13
2500.0,-6.94865e-13
2600.0,-8.10168e-13
2700.0,-8.86171e-13
2800.0,-1.18884e-12
2900.0,-1.29224e-12
3000.0,-1.38589e-12
========================================
tripplet_B8_Frequencies_1_0.1.out
4.0 atm
T,P1->P2
200.0,1.6402e-12
210.0,1.15547e-12
220.0,8.19611e-13
230.0,5.64091e-13
240.0,4.02364e-13
250.0,2.82683e-13
260.0,1.83658e-13
270.0,1.17762e-13
280.0,8.67482e-14
290.0,7.57512e-14
300.0,5.9951e-14
310.0,3.79786e-14
320.0,4.37064e-14
330.0,3.73324e-14
