Pressure (atm),Temperature (K),P1_SymmetryFactor_1_P1->W1,W2_Energy_1_P1->W1,B4_Energy_1_P1->W1,W1_Frequencies_1_P1->W1,P2_SymmetryFactor_1_P1->W1,B5_ImaginaryFrequency_1_P1->W1,W1_Energy_1_P1->W1,B4_ImaginaryFrequency_1_P1->W1,B5_Frequencies_1_P1->W1,P2_Energy_1_P1->W1,B4_Frequencies_1_P1->W1,P2_Frequencies_1_P1->W1,B4_SymmetryFactor_1_P1->W1,P1_Frequencies_1_P1->W1,W1_SymmetryFactor_1_P1->W1,B5_SymmetryFactor_1_P1->W1,B5_Energy_1_P1->W1,W2_Frequencies_1_P1->W1,W2_SymmetryFactor_1_P1->W1,P1_Energy_1_P1->W1
10.0,1285.0,1.000000573360269,0.0,-0.39131686722350295,0.0,0.0,0.000269512953602854,0.0,0.20073057682106502,-0.04058715548034534,0.0,-3.2667947966930635,0.0,-0.9901838211938178,1.993948727450553,0.0,-0.009349641964661697,-0.00028888687299061727,0.0,0.0,0.3916118186718808
10.0,1290.0,1.000000553948624,0.0,-0.38978852147881476,0.0,0.0,0.0002873411449571535,0.0,0.19909582137904833,-0.040197680021829225,0.0,-3.272050479283502,0.0,-0.9902716915059747,1.9990258435897046,0.0,-0.009266121500872911,-0.0002987267224201137,0.0,0.0,0.3900939362777053
10.0,1295.0,1.0000005350904602,0.0,-0.38827138186707555,0.0,0.0,0.00030567376167578864,0.0,0.19748053787526185,-0.039782068689771286,0.0,-3.2773124733821644,0.0,-0.9903652102885487,2.004080055368522,0.0,-0.009177113073537212,-0.00030906164827540733,0.0,0.0,0.38858777503541214
10.0,1300.0,1.000000516770549,0.0,-0.38676531774026557,0.0,0.0,0.0003244900967638637,0.0,0.1958844187762668,-0.039342111591676776,0.0,-3.2825786514449793,0.0,-0.9904639514679439,2.0091114923595663,0.0,-0.009083021694853107,-0.0003198878961865375,0.0,0.0,0.387093199700419
10.0,1305.0,1.0000004989740947,0.0,-0.3852702005978134,0.0,0.0,0.0003437701020114914,0.0,0.19430716258974556,-0.03887953113106772,0.0,-3.287846972954449,0.0,-0.9905675053930468,2.014120283405347,0.0,-0.00898423682888509,-0.0003312016098234786,0.0,0.0,0.3856100771008638
10.0,1310.0,1.0000004816867196,0.0,-0.3837859040404917,0.0,0.0,0.0003634943667660996,0.0,0.1927484737227771,-0.03839598439741056,0.0,-3.2931154812878565,0.0,-0.9906754782505882,2.019106556623548,0.0,-0.008881132944004137,-0.0003429988383300449,0.0,0.0,0.3841382760980498
10.0,1315.0,1.0000004648944536,0.0,-0.3823123037255402,0.0,0.0,0.00038364409743842055,0.0,0.19120806234397147,-0.03789306546897142,0.0,-3.2983823007000925,0.0,-0.9907874915021572,2.024070439411986,0.0,-0.008774070045065292,-0.0003552755434053903,0.0,0.0,0.38267766754779237
10.0,1320.0,1.000000448583719,0.0,-0.3808492773229639,0.0,0.0,0.0004042010977114848,0.0,0.18968564424934087,-0.037372307631936504,0.0,-3.303645633416532,0.0,-0.9909031813415856,2.0290120584533358,0.0,-0.00866339418628763,-0.00036802760605230875,0.0,0.0,0.3812281242626418
10.0,1325.0,1.0000004327413214,0.0,-0.37939670447298574,0.0,0.0,0.0004251477494198992,0.0,0.18818094073180547,-0.036835185519593375,0.0,-3.3089037568325126,0.0,-0.9910221981722113,2.033931539719609,0.0,-0.008549437965384682,-0.00038125083300718165,0.0,0.0,0.37978952097496566
10.0,1330.0,1.0000004173544361,0.0,-0.37795446674460476,0.0,0.0,0.000446466994090972,0.0,0.18669367845420523,-0.03628311717353642,0.0,-3.31415502081422,0.0,-0.9911442061029713,2.0388290084764487,0.0,-0.008432520999926975,-0.00039494096286257253,0.0,0.0,0.37836173430086273
