    E, kcal/mol    D, mol/kcal       W1a->W1b       W1a->W2a       W1a->W2b        W1a->P1
        19.6536    3.26353e+15    4.55045e+11       0.999987       0.999987    2.21612e+12
        19.7965    3.42426e+15    4.55921e+11       0.999988       0.999988     2.2081e+12
        19.9395    3.59214e+15     4.5679e+11       0.999987       0.999987    2.20014e+12
        20.0824    3.76745e+15    4.57652e+11       0.999989       0.999989    2.19223e+12
        20.2254    3.95049e+15    4.58508e+11       0.999986       0.999986    2.18433e+12
        20.3684    4.14156e+15    4.59356e+11       0.999989       0.999989    2.17639e+12
        20.5113    4.34099e+15    4.60198e+11       0.999987       0.999987     2.1684e+12
        20.6543    4.54909e+15    4.61033e+11       0.999986       0.999986    2.16043e+12
        20.7972     4.7662e+15    4.61862e+11       0.999985       0.999985    2.15251e+12
        20.9402    4.99268e+15    4.62684e+11       0.999987       0.999987    2.14461e+12
        21.0831    5.22888e+15      4.635e+11       0.999986       0.999986    2.13672e+12
        21.2261    5.47519e+15     4.6431e+11       0.999988       0.999988     2.1288e+12
         21.369    5.73199e+15    4.65114e+11       0.999989       0.999989    2.12086e+12
         21.512    5.99967e+15    4.65911e+11       0.999986       0.999986    2.11295e+12
         21.655    6.27866e+15    4.66703e+11       0.999988       0.999988     2.1051e+12
        21.7979    6.56939e+15    4.67488e+11       0.999989       0.999989    2.09731e+12
        21.9409    6.87229e+15    4.68268e+11       0.999986       0.999986    2.08957e+12
        22.0838    7.18783e+15    4.69042e+11       0.999985       0.999985    2.08183e+12
        22.2268    7.51647e+15     4.6981e+11       0.999991       0.999991     2.0741e+12
        22.3697     7.8587e+15    4.70572e+11       0.999991       0.999991    2.06643e+12
        22.5127    8.21504e+15    4.71329e+11       0.999987       0.999987    2.05882e+12
        22.6556      8.586e+15     4.7208e+11       0.999987       0.999987    2.05126e+12
        22.7986    8.97213e+15    4.72826e+11       0.999984       0.999984    2.04374e+12
        22.9416    9.37397e+15    4.73567e+11       0.999983       0.999983    2.03621e+12
        23.0845     9.7921e+15    4.74302e+11       0.999989       0.999989    2.02869e+12
        23.2275    1.02271e+16    4.75032e+11       0.999985       0.999985    2.02122e+12
        23.3704    1.06796e+16    4.75756e+11       0.999988       0.999988    2.01378e+12
        23.5134    1.11503e+16    4.76476e+11       0.999988       0.999988    2.00636e+12
        23.6563    1.16397e+16     4.7719e+11       0.999988       0.999988    1.99894e+12
        23.7993    1.21486e+16    4.77899e+11       0.999988       0.999988    1.99151e+12
        23.9422    1.26777e+16    4.78604e+11       0.999988       0.999988    1.98411e+12
        24.0852    1.32276e+16    4.79303e+11       0.999988       0.999988    1.97674e+12
        24.2282    1.37991e+16    4.79998e+11       0.999988       0.999988     1.9694e+12
        24.3711     1.4393e+16    4.80687e+11       0.999988       0.999988    1.96209e+12
        24.5141    1.50101e+16    4.81372e+11       0.999988       0.999988    1.95477e+12
         24.657    1.56511e+16    4.82053e+11       0.999988       0.999988    1.94747e+12
           24.8     1.6317e+16    4.82728e+11       0.999988       0.999988    1.94021e+12
        24.9429    1.70085e+16    4.83399e+11       0.999988       0.999988    1.93299e+12
        25.0859    1.77266e+16    4.84066e+11       0.999988       0.999988    1.92582e+12
        25.2288    1.84722e+16    4.84728e+11       0.999987       0.999987    1.91867e+12
        25.3718    1.92463e+16    4.85385e+11       0.999988       0.999988    1.91154e+12
        25.5148    2.00497e+16    4.86038e+11       0.999989       0.999989    1.90442e+12
        25.6577    2.08835e+16    4.86687e+11       0.999989       0.999989    1.89736e+12
        25.8007    2.17488e+16    4.87332e+11       0.999988       0.999988    1.89034e+12
        25.9436    2.26467e+16    4.87972e+11       0.999988       0.999988    1.88336e+12
        26.0866    2.35781e+16    4.88608e+11       0.999987       0.999987    1.87641e+12
        26.2295    2.45443e+16     4.8924e+11       0.999988       0.999988    1.86947e+12
