*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
         2225           10  1.42475e+10    0.0312214   0.00120697    0.0710209
         2230           10  1.42268e+10    0.0313511   0.00121956    0.0718311
         2235           10  1.42061e+10    0.0312307   0.00123129    0.0727461
         2240           10  1.41855e+10    0.0314378   0.00123784    0.0728795
         2245           10   1.4165e+10    0.0323514   0.00129346    0.0752739
         2250           10  1.41446e+10    0.0322348    0.0012823    0.0753901
         2255           10  1.41242e+10    0.0318223   0.00131727    0.0769046
         2260           10  1.41039e+10    0.0322826   0.00130181    0.0766718
         2265           10  1.40837e+10    0.0319899   0.00133571    0.0783727
         2270           10  1.40636e+10    0.0318531   0.00132201    0.0776658
         2275           10  1.40435e+10    0.0330963   0.00140024    0.0812672
         2280           10  1.40235e+10    0.0320055   0.00133881    0.0786204
         2285           10  1.40036e+10    0.0330783   0.00143719    0.0825573
         2290           10  1.39837e+10     0.033074   0.00141869    0.0832873
         2295           10  1.39639e+10    0.0331719   0.00141759    0.0826964
         2300           10  1.39442e+10    0.0330297   0.00144594    0.0841866
         2305           10  1.39246e+10    0.0333741   0.00145556    0.0848924
         2310           10   1.3905e+10    0.0326046   0.00144764    0.0848075
         2315           10  1.38855e+10      0.03387   0.00148993    0.0864106
         2320           10  1.38661e+10    0.0343501   0.00153579    0.0884171
         2325           10  1.38467e+10    0.0344326   0.00155148    0.0893424
         2330           10  1.38274e+10    0.0343176    0.0015399    0.0889236
         2335           10  1.38082e+10    0.0346158   0.00158149    0.0907793
         2340           10   1.3789e+10    0.0350051   0.00158452    0.0911823
         2345           10  1.37699e+10    0.0341912   0.00158709    0.0916374
         2350           10  1.37509e+10    0.0343187   0.00160013    0.0924735
         2355           10   1.3732e+10    0.0345081   0.00162932    0.0938625
         2360           10  1.37131e+10    0.0360075   0.00168777     0.095877
         2365           10  1.36943e+10    0.0358173   0.00167395    0.0960398
         2370           10  1.36755e+10     0.035267   0.00170301    0.0977774
         2375           10  1.36568e+10    0.0359359   0.00170158    0.0970045
         2380           10  1.36382e+10     0.035416   0.00173133    0.0990396
         2385           10  1.36196e+10    0.0357291   0.00175501     0.100292
         2390           10  1.36011e+10    0.0355909   0.00173604    0.0994812
         2395           10  1.35827e+10    0.0359604   0.00177983     0.101571
         2400           10  1.35643e+10    0.0357515   0.00176079     0.101012
         2405           10   1.3546e+10    0.0365263   0.00182955     0.103981
         2410           10  1.35278e+10    0.0362237   0.00184278     0.104525
         2415           10  1.35096e+10    0.0366259   0.00188213     0.106006
         2420           10  1.34915e+10    0.0363898   0.00186855     0.106115
         2425           10  1.34734e+10    0.0373779   0.00190046     0.107749
         2430           10  1.34554e+10    0.0377894   0.00194089     0.109081
         2435           10  1.34375e+10    0.0374629   0.00192992     0.109111
         2440           10  1.34196e+10     0.037732   0.00197069     0.110924
         2445           10  1.34018e+10     0.037335   0.00195509     0.110823
         2450           10   1.3384e+10    0.0377666   0.00200386     0.112421
         2455           10  1.33663e+10    0.0373037   0.00199671     0.112815
         2460           10  1.33487e+10    0.0378057    0.0020374      0.11468
         2465           10  1.33311e+10    0.0395172   0.00211647     0.117373
         2470           10  1.33136e+10     0.038055   0.00206707     0.116249
         2475           10  1.32961e+10     0.039625   0.00214889     0.118681
         2480           10  1.32787e+10    0.0394369   0.00216073     0.119917
         2485           10  1.32614e+10    0.0392736   0.00214122     0.119399
         2490           10  1.32441e+10    0.0395624   0.00219238     0.121632
         2495           10  1.32269e+10     0.039724    0.0021985     0.121976
         2500           10  1.32097e+10    0.0391168   0.00219812     0.122607
         2505           10  1.31926e+10    0.0392685   0.00223371      0.12449
         2510           10  1.31755e+10    0.0398111   0.00224893     0.124778
         2515           10  1.31585e+10    0.0393978   0.00226061     0.126092
         2520           10  1.31416e+10    0.0397928   0.00229628     0.127395
         2525           10  1.31247e+10    0.0393756   0.00228913     0.127236
         2530           10  1.31078e+10     0.041887   0.00240185     0.130886
         2535           10  1.30911e+10    0.0412411   0.00240755     0.132229
         2540           10  1.30743e+10    0.0410465   0.00244431     0.133156
         2545           10  1.30577e+10    0.0416191   0.00242459      0.13323
         2550           10   1.3041e+10    0.0412437    0.0024705     0.135151
         2555           10  1.30245e+10     0.041097   0.00245255     0.134339
         2560           10   1.3008e+10    0.0414363   0.00250779     0.137143
         2565           10  1.29915e+10    0.0412747    0.0024765     0.135544
         2570           10  1.29751e+10    0.0415096    0.0025461     0.137888
         2575           10  1.29587e+10    0.0413052   0.00253117     0.139503
         2580           10  1.29424e+10     0.042418   0.00253856     0.138906
         2585           10  1.29262e+10    0.0412922   0.00256993     0.140439
         2590           10    1.291e+10    0.0442783   0.00267181     0.143751
         2595           10  1.28939e+10     0.043883   0.00273405     0.145807
         2600           10  1.28778e+10    0.0430786   0.00272426     0.146079
         2605           10  1.28617e+10    0.0445559   0.00275227     0.146782
         2610           10  1.28457e+10    0.0436187   0.00276289     0.147701
         2615           10  1.28298e+10    0.0434091   0.00277337     0.148651
         2620           10  1.28139e+10     0.043336   0.00276761     0.149097
         2625           10   1.2798e+10     0.043695   0.00282402     0.151305
         2630           10  1.27823e+10    0.0434566   0.00280031     0.150645
         2635           10  1.27665e+10    0.0435718   0.00284351     0.152707
         2640           10  1.27508e+10    0.0436341   0.00285007     0.152883
         2645           10  1.27352e+10    0.0437535   0.00288949     0.155171
         2650           10  1.27196e+10     0.045411   0.00297114     0.156723
         2655           10   1.2704e+10    0.0463456    0.0030466     0.159265
         2660           10  1.26885e+10     0.045607   0.00302071     0.159178
         2665           10  1.26731e+10    0.0465224   0.00308076     0.160735
         2670           10  1.26577e+10    0.0463638   0.00305331     0.160716
         2675           10  1.26423e+10    0.0456418   0.00310233     0.162848
         2680           10   1.2627e+10    0.0465861   0.00310593     0.163285
         2685           10  1.26118e+10     0.045778   0.00314321     0.164833
         2690           10  1.25965e+10    0.0458612   0.00314349     0.165546
         2695           10  1.25814e+10    0.0465077   0.00317077     0.165838
         2700           10  1.25662e+10    0.0460892   0.00320184     0.167402
         2705           10  1.25512e+10    0.0467295   0.00321157     0.168108
         2710           10  1.25361e+10    0.0459491    0.0032421     0.170786
         2715           10  1.25212e+10    0.0482364   0.00338919      0.17387
         2720           10  1.25062e+10    0.0460218   0.00327601     0.171483
         2725           10  1.24913e+10    0.0484465   0.00343382     0.176101
         2730           10  1.24765e+10    0.0481995   0.00340403     0.175467
         2735           10  1.24617e+10    0.0485068   0.00347408     0.177735
         2740           10  1.24469e+10    0.0483675   0.00344928     0.177427
         2745           10  1.24322e+10    0.0482338   0.00341395     0.176509
         2750           10  1.24175e+10     0.048236   0.00351267     0.179781
         2755           10  1.24029e+10    0.0491785   0.00354128     0.180752
         2760           10  1.23883e+10    0.0484153   0.00355623     0.181997
         2765           10  1.23738e+10     0.048165   0.00354497     0.182678
         2770           10  1.23593e+10    0.0495411   0.00362602     0.184917
         2775           10  1.23448e+10     0.049827   0.00365787     0.186169
         2780           10  1.23304e+10    0.0506955   0.00372068     0.187764
         2785           10  1.23161e+10    0.0502379   0.00373795     0.189529
         2790           10  1.23017e+10    0.0500664   0.00375784     0.190375
         2795           10  1.22875e+10    0.0505199   0.00374372      0.18949
         2800           10  1.22732e+10    0.0502858   0.00379154     0.192391
         2805           10   1.2259e+10    0.0521441   0.00389039     0.194587
         2810           10  1.22449e+10     0.051287   0.00389068     0.195168
         2815           10  1.22307e+10    0.0524244   0.00392026     0.196102
         2820           10  1.22167e+10    0.0515696   0.00393565     0.198008
         2825           10  1.22026e+10    0.0513535     0.003993     0.198896
         2830           10  1.21886e+10    0.0517952   0.00397074     0.200046
         2835           10  1.21747e+10    0.0515878   0.00403083     0.201499
         2840           10  1.21608e+10    0.0514124    0.0040046     0.200489
         2845           10  1.21469e+10    0.0538854   0.00419158     0.205074
         2850           10  1.21331e+10     0.051635   0.00404058     0.202031
         2855           10  1.21193e+10     0.054338   0.00422965     0.205533
         2860           10  1.21055e+10    0.0535921   0.00426271     0.210246
         2865           10  1.20918e+10    0.0534087   0.00418379     0.207819
         2870           10  1.20782e+10    0.0535375   0.00431861     0.210695
         2875           10  1.20645e+10    0.0537226   0.00427935     0.211349
         2880           10  1.20509e+10     0.054648   0.00434069     0.212544
         2885           10  1.20374e+10     0.053726   0.00431723     0.211427
         2890           10  1.20239e+10    0.0548213   0.00440972     0.214997
         2895           10  1.20104e+10    0.0541537   0.00439689     0.215178
         2900           10   1.1997e+10    0.0549688   0.00448861     0.217134
         2905           10  1.19835e+10    0.0547615   0.00448322     0.217767
         2910           10  1.19702e+10    0.0553864   0.00456232     0.220451
         2915           10  1.19569e+10    0.0550953   0.00456409     0.220952
         2920           10  1.19436e+10    0.0549351   0.00460154     0.222096
         2925           10  1.19303e+10    0.0553181   0.00460789      0.22261
         2930           10  1.19171e+10    0.0555367   0.00466457     0.224807
         2935           10  1.19039e+10    0.0552192   0.00465275     0.224026
         2940           10  1.18908e+10    0.0575494   0.00482271     0.228467
         2945           10  1.18777e+10    0.0556537   0.00473398     0.227993
         2950           10  1.18646e+10    0.0579803   0.00488624     0.230715
         2955           10  1.18516e+10    0.0576154   0.00483714     0.229919
         2960           10  1.18386e+10    0.0574597   0.00486856     0.231322
         2965           10  1.18257e+10    0.0579373    0.0049251     0.233502
         2970           10  1.18127e+10    0.0576431   0.00491868     0.233084
         2975           10  1.17999e+10    0.0573631   0.00490028     0.234176
         2980           10   1.1787e+10    0.0587759   0.00505189     0.236679
         2985           10  1.17742e+10    0.0576337   0.00496544     0.236413
         2990           10  1.17614e+10    0.0589773   0.00510663      0.23914
         2995           10  1.17487e+10    0.0591865   0.00518618     0.241888
         3000           10   1.1736e+10    0.0591207   0.00512101     0.240492
         3005           10  1.17233e+10    0.0597707    0.0052055     0.241973
         3010           10  1.17107e+10    0.0592537   0.00519935     0.243129
         3015           10  1.16981e+10    0.0587751    0.0052098     0.244346
         3020           10  1.16855e+10    0.0595117   0.00532295     0.246783
         3025           10   1.1673e+10    0.0589677   0.00528113     0.246777
         3030           10  1.16605e+10    0.0597651   0.00537143     0.248512
         3035           10   1.1648e+10    0.0609262   0.00541579     0.249185
         3040           10  1.16356e+10    0.0613497   0.00552163       0.2523
         3045           10  1.16232e+10    0.0612109   0.00547275     0.252168
         3050           10  1.16108e+10    0.0606439    0.0054542     0.253036
         3055           10  1.15985e+10    0.0629564   0.00566244     0.257036
         3060           10  1.15862e+10    0.0611864   0.00556021     0.256068
         3065           10  1.15739e+10    0.0630789   0.00572768     0.259447
         3070           10  1.15617e+10    0.0629069   0.00573256     0.260055
         3075           10  1.15495e+10    0.0627422   0.00569126     0.259146
         3080           10  1.15373e+10    0.0630197   0.00578953     0.262025
         3085           10  1.15252e+10    0.0629871   0.00575075     0.261801
         3090           10  1.15131e+10     0.065441    0.0058646     0.263443
         3095           10   1.1501e+10     0.063693   0.00602298     0.268079
         3100           10  1.14889e+10    0.0657167   0.00591575     0.265507
         3105           10  1.14769e+10    0.0640867   0.00609478      0.27178
         3110           10   1.1465e+10    0.0638459   0.00605187     0.269926
         3115           10   1.1453e+10    0.0635565   0.00598659     0.267502
         3120           10  1.14411e+10    0.0641542   0.00611109     0.273046
         3125           10  1.14292e+10    0.0639324   0.00607108     0.271892
         3130           10  1.14174e+10    0.0642268   0.00613369     0.273021
