========================================
ch3oh_B1_Energy_1_34.9759.out
0.1 atm
T,R->W1
440.0,8.06628e-11
450.0,7.97164e-11
460.0,7.87594e-11
470.0,7.77851e-11
480.0,7.67715e-11
490.0,7.57598e-11
500.0,7.47296e-11
510.0,7.36766e-11
520.0,7.26056e-11
530.0,7.15325e-11
540.0,7.04487e-11
550.0,6.93511e-11
560.0,6.82441e-11
570.0,6.71277e-11
580.0,6.6e-11
590.0,6.48669e-11
600.0,6.37342e-11
610.0,6.25997e-11
620.0,6.14638e-11
630.0,6.03277e-11
640.0,5.91939e-11
650.0,5.80623e-11
660.0,5.69325e-11
670.0,5.58058e-11
680.0,5.4689e-11
690.0,5.3579e-11
700.0,5.2476e-11
800.0,4.20148e-11
900.0,3.294e-11
1000.0,2.5439e-11
1100.0,1.94362e-11
1200.0,1.47425e-11
1300.0,1.11283e-11
1400.0,8.37751e-12
1500.0,6.2979e-12
1600.0,4.73325e-12
1700.0,3.5587e-12
1800.0,2.67829e-12
1900.0,2.01905e-12
2000.0,1.52481e-12
2100.0,1.15414e-12
2200.0,8.76179e-13
2300.0,6.66999e-13
2400.0,5.10053e-13
========================================
ch3oh_W1_Energy_1_34.9759.out
3.0 atm
T,R->W1
200.0,9.89802e-11
210.0,9.82683e-11
220.0,9.75791e-11
230.0,9.69136e-11
240.0,9.62888e-11
250.0,9.56624e-11
260.0,9.5093e-11
270.0,9.45205e-11
280.0,9.39777e-11
290.0,9.34384e-11
300.0,9.2883e-11
310.0,9.236e-11
320.0,9.18611e-11
330.0,9.13661e-11
340.0,9.08308e-11
350.0,9.03297e-11
360.0,8.98102e-11
370.0,8.93104e-11
380.0,8.87711e-11
390.0,8.82376e-11
400.0,8.77174e-11
410.0,8.71715e-11
420.0,8.66204e-11
430.0,8.60289e-11
440.0,8.54585e-11
450.0,8.48542e-11
460.0,8.42469e-11
470.0,8.36262e-11
480.0,8.29711e-11
490.0,8.23194e-11
500.0,8.16518e-11
510.0,8.096e-11
520.0,8.02501e-11
530.0,7.95345e-11
540.0,7.88057e-11
550.0,7.80586e-11
560.0,7.7295e-11
570.0,7.65151e-11
580.0,7.57168e-11
590.0,7.49044e-11
600.0,7.40821e-11
610.0,7.32478e-11
620.0,7.24024e-11
630.0,7.1545e-11
640.0,7.06768e-11
650.0,6.97985e-11
660.0,6.89101e-11
670.0,6.8012e-11
680.0,6.71092e-11
690.0,6.61995e-11
700.0,6.52843e-11
800.0,5.59497e-11
900.0,4.68008e-11
1000.0,3.83797e-11
1100.0,3.09771e-11
1200.0,2.46969e-11
1300.0,1.95042e-11
