Pressure (atm),Temperature (K),P1_SymmetryFactor_1_P1->W1,W2_Energy_1_P1->W1,B4_Energy_1_P1->W1,W1_Frequencies_1_P1->W1,P2_SymmetryFactor_1_P1->W1,W1_Energy_1_P1->W1,B5_Frequencies_1_P1->W1,P2_Energy_1_P1->W1,B4_Frequencies_1_P1->W1,P2_Frequencies_1_P1->W1,B4_SymmetryFactor_1_P1->W1,P1_Frequencies_1_P1->W1,W1_SymmetryFactor_1_P1->W1,B5_SymmetryFactor_1_P1->W1,B5_Energy_1_P1->W1,W2_Frequencies_1_P1->W1,W2_SymmetryFactor_1_P1->W1,P1_Energy_1_P1->W1
10.0,2525.0,0.999999712427327,0.0,-0.18965208321188565,0.0,0.0,0.0,-0.21006536921109503,0.0,-3.7144897263562644,0.0,-0.9389705814514193,2.7892581923111086,0.0,-0.05600133409404322,-0.009487264313516718,0.0,0.0,0.19929506905478153
10.0,2530.0,0.9999997112516517,0.0,-0.18921717853797085,0.0,0.0,0.0,-0.21161134376136942,0.0,-3.713974746256415,0.0,-0.9385503110076538,2.791235540142467,0.0,-0.056390703484851985,-0.009528063607376066,0.0,0.0,0.19890120445618772
10.0,2535.0,0.9999997100860659,0.0,-0.18878390647156226,0.0,0.0,0.0,-0.21315525040035108,0.0,-3.713457084341475,0.0,-0.9381306269727873,2.7932064657217195,0.0,-0.05677953313832098,-0.009568784982263604,0.0,0.0,0.19850889356805182
10.0,2540.0,0.9999997089304782,0.0,-0.188352257860427,0.0,0.0,0.0,-0.2146970775841701,0.0,-3.7129367842285492,0.0,-0.9377115321988555,2.795170998854148,0.0,-0.057167820370170604,-0.00960942840899092,0.0,0.0,0.19811812721489483
10.0,2545.0,0.9999997077847976,0.0,-0.18792222362041933,0.0,0.0,0.0,-0.21623681404598868,0.0,-3.7124138889741203,0.0,-0.9372930294659507,2.797129169174506,0.0,-0.057555562563266716,-0.009649993862436933,0.0,0.0,0.19772889629334434
10.0,2550.0,0.9999997066489346,0.0,-0.1874937947348493,0.0,0.0,0.0,-0.21777444879148164,0.0,-3.711888441081632,0.0,-0.9368751214834123,2.79908100614807,0.0,-0.05794275716651497,-0.009690481321470193,0.0,0.0,0.19734119177142662
10.0,2555.0,0.9999997055228,0.0,-0.18706696225386232,0.0,0.0,0.0,-0.21930997109434505,0.0,-3.7113604825090416,0.0,-0.9364578108909987,2.801026539071674,0.0,-0.058329401693765166,-0.00973089076887346,0.0,0.0,0.19695500468786906
10.0,2560.0,0.9999997044063063,0.0,-0.18664171729381993,0.0,0.0,0.0,-0.22084337049193023,0.0,-3.7108300546761934,0.0,-0.9360411002600342,2.802965797074759,0.0,-0.05871549372274626,-0.009771222191268226,0.0,0.0,0.1965703261514085
10.0,2565.0,0.999999703299366,0.0,-0.18621805103669298,0.0,0.0,0.0,-0.22237463678090072,0.0,-3.7102971984721234,0.0,-0.9356249920945445,2.8048988091203952,0.0,-0.05910103089400419,-0.009811475579041853,0.0,0.0,0.19618714734011
10.0,2570.0,0.9999997022018936,0.0,-0.185795954729457,0.0,0.0,0.0,-0.22390376001301035,0.0,-3.7097619542622398,0.0,-0.9352094888323723,2.8068256040063226,0.0,-0.059486010909868305,-0.009851650926274845,0.0,0.0,0.19580545950069192
10.0,2575.0,0.9999997011138035,0.0,-0.18537541968349802,0.0,0.0,0.0,-0.2254307304908974,0.0,-3.709224361895387,0.0,-0.9347945928462646,2.808746210365963,0.0,-0.05987043153342758,-0.009891748230670443,0.0,0.0,0.19542525394785953
10.0,2580.0,0.9999997000350118,0.0,-0.18495643727402164,0.0,0.0,0.0,-0.22695553876399635,0.0,-3.7086844607108347,0.0,-0.9343803064449578,2.810660656669444,0.0,-0.06025429058753077,-0.009931767493484643,0.0,0.0,0.19504652206364598
10.0,2585.0,0.9999996989654348,0.0,-0.1845389989394698,0.0,0.0,0.0,-0.22847817562448158,0.0,-3.708142289545119,0.0,-0.933966631874235,2.812568971224613,0.0,-0.060637585953797625,-0.009971708719457654,0.0,0.0,0.1946692552967614
10.0,2590.0,0.9999996979049902,0.0,-0.1841230961809449,0.0,0.0,0.0,-0.22999863210329566,0.0,-3.707597886738829,0.0,-0.9335535713179623,2.8144711821780417,0.0,-0.06102031557164542,-0.010011571916747014,0.0,0.0,0.19429344516194874
10.0,2595.0,0.9999996968535964,0.0,-0.1837087205616395,0.0,0.0,0.0,-0.2315168994662309,0.0,-3.7070512901432418,0.0,-0.9331411268991219,2.8163673175160295,0.0,-0.06140247743733668,-0.010051357096860876,0.0,0.0,0.19391908323934912
10.0,2600.0,0.9999996958111723,0.0,-0.18329586370627068,0.0,0.0,0.0,-0.23303296921009597,0.0,-3.706502537126927,0.0,-0.9327293006808177,2.8182574050656006,0.0,-0.061784069603037686,-0.010091064274593425,0.0,0.0,0.19354616117387086
10.0,2605.0,0.9999996947776382,0.0,-0.18288451730052335,0.0,0.0,0.0,-0.23454683305891072,0.0,-3.7059516645821735,0.0,-0.9323180946672647,2.8201414724954996,0.0,-0.0621650901758941,-0.010130693467961086,0.0,0.0,0.1931746706745697
10.0,2610.0,0.9999996937529149,0.0,-0.18247467309049697,0.0,0.0,0.0,-0.23605848296019352,0.0,-3.7053987089313876,0.0,-0.9319075108047667,2.8220195473171734,0.0,-0.06254553731712366,-0.01017024469813931,0.0,0.0,0.19280460351403328
10.0,2615.0,0.9999996927369241,0.0,-0.1820663228821612,0.0,0.0,0.0,-0.23756791108128708,0.0,-3.7048437061333668,0.0,-0.931497550982676,2.823891656885752,0.0,-0.06292540924111789,-0.010209717989401255,0.0,0.0,0.19243595152777493
10.0,2620.0,0.9999996917295884,0.0,-0.1816594585408127,0.0,0.0,0.0,-0.23907510980576535,0.0,-3.7042866916894694,0.0,-0.9310882170343343,2.8257578284010356,0.0,-0.06330470421456735,-0.010249113369057499,0.0,0.0,0.1920687066136311
