*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
         2485           10  1.32614e+10      459.436      3.31022     0.999852      3.47112     0.999803
         2490           10  1.32441e+10      447.524      2.54596     0.999862      2.56754     0.999816
         2495           10  1.32269e+10      318.651      2.19281     0.999913      2.33846     0.999935
         2500           10  1.32097e+10       218.53      3.19406     0.999972       3.3915      0.99998
         2505           10  1.31926e+10       141.43      5.35485     0.999997      5.67481     0.999998
         2510           10  1.31755e+10      135.686      5.67545     0.999998      5.99088     0.999999
         2515           10  1.31585e+10      976.778      78.8101     0.999525       96.622     0.999394
         2520           10  1.31416e+10      770.003      37.0933     0.999685      43.9865     0.999587
         2525           10  1.31247e+10      755.545       34.284       0.9997      40.5674     0.999606
         2530           10  1.31078e+10      579.242      10.5313     0.999811      12.0195     0.999749
         2535           10  1.30911e+10      428.893      1.81885     0.999861      1.95096     0.999896
         2540           10  1.30743e+10      305.998      2.45458     0.999938      2.61728     0.999954
         2545           10  1.30577e+10      297.587      2.52896     0.999944      2.70787     0.999959
         2550           10   1.3041e+10      202.677      3.82972     0.999986      4.04634      0.99999
         2555           10  1.30245e+10      1240.86      130.869     0.999389      163.615     0.999233
         2560           10   1.3008e+10      997.484      75.2928     0.999579       92.159     0.999461
         2565           10  1.29915e+10      981.976      71.4948     0.999596      87.2879     0.999482
         2570           10  1.29751e+10      775.129      32.4147     0.999733      38.2714     0.999648
         2575           10  1.29587e+10      598.059      9.77672     0.999832       11.126     0.999776
         2580           10  1.29424e+10      447.498      1.87692     0.999875      2.01208     0.999907
         2585           10  1.29262e+10       437.67      1.92237     0.999883      2.06177     0.999913
         2590           10    1.291e+10      313.534      2.59592     0.999949      2.77972     0.999963
         2595           10  1.28939e+10      216.677      3.88197     0.999987      4.09635     0.999991
         2600           10  1.28778e+10      1334.75      142.455     0.999408      178.291     0.999256
         2605           10  1.28617e+10      1317.68      137.797     0.999428      172.332     0.999281
         2610           10  1.28457e+10      1063.92      80.7644     0.999604      99.0068     0.999493
         2615           10  1.28298e+10      849.316      39.1537     0.999735       46.501     0.999651
         2620           10  1.28139e+10      663.685      13.5103     0.999829      15.5818     0.999773
